no,id,group,firstParti,sndParti,gender,age,residentArea,maritalStatus,children,occupation,education,covidInfecRecord,vaccRecord1stSurvey,vaccReservation,device,start_time,end_time,time
430,8FXEYFmYM5oK,3,,1,1,46,38,2,1,4,7,2,3,1,4,2021-08-26 22:31:16,2021-08-26 22:31:57,1
432,BI2h4LTI480Q,14,,1,1,32,34,1,2,5,6,2,3,2,1,2021-08-26 22:37:02,2021-08-26 22:37:29,0
433,3G9RC0j02Xj8,14,,1,1,37,11,2,1,1,6,2,3,2,4,2021-08-26 22:38:01,2021-08-26 22:38:37,1
434,5PuYzICNJHiL,9,,1,2,48,40,1,2,1,6,2,3,1,1,2021-08-26 22:39:51,2021-08-26 22:40:40,1
436,b1hjTMVtCcbc,21,,1,2,41,26,1,2,11,6,2,3,2,4,2021-08-26 22:40:39,2021-08-26 22:41:34,1
437,cZPYql8Xf8QL,14,,1,1,35,45,1,2,11,6,2,3,2,4,2021-08-26 22:41:14,2021-08-26 22:41:57,1
442,Jt3PCKQWhgRr,21,,1,2,49,13,2,1,11,7,2,3,2,4,2021-08-26 22:56:19,2021-08-26 22:56:54,1
443,d6G5dXZ4fomH,20,,1,2,32,14,1,2,1,6,2,3,2,4,2021-08-26 22:57:02,2021-08-26 22:57:59,1
444,128hTBTSI1wy,9,1,1,2,42,28,2,1,12,5,2,3,1,4,2021-08-26 22:59:36,2021-08-26 23:02:59,3
447,2BBn7dNwBEvm,15,,1,1,40,13,1,2,3,4,2,3,2,2,2021-08-26 23:05:58,2021-08-26 23:06:37,1
449,12oOI05MUcRn,15,,1,1,41,29,1,2,1,6,2,3,2,4,2021-08-26 23:06:54,2021-08-26 23:10:49,4
455,7Uff2viZVYpZ,9,,1,2,46,14,1,2,14,5,2,3,1,6,2021-08-26 23:26:11,2021-08-26 23:29:26,3
457,LQQWGw9pQqRy,19,,1,2,23,38,1,2,1,6,2,3,2,1,2021-08-26 23:32:24,2021-08-26 23:32:54,1
458,H51ZarwAP1Ly,16,,1,1,56,35,2,1,4,6,2,3,2,4,2021-08-26 23:32:46,2021-08-26 23:33:34,1
460,kbj46CdhWLZ3,21,,1,2,47,27,2,1,11,2,2,3,2,4,2021-08-26 23:35:21,2021-08-26 23:36:55,2
462,23ulRg47CCNK,9,,1,2,46,34,2,1,12,5,2,3,1,1,2021-08-26 23:44:13,2021-08-26 23:45:00,1
463,lvk4LNHLoAfo,1,,1,1,25,25,1,2,1,7,2,3,1,4,2021-08-26 23:47:34,2021-08-26 23:48:11,1
466,dpXcfrq6EplM,20,,1,2,32,33,1,2,14,4,2,3,2,5,2021-08-26 23:50:10,2021-08-26 23:52:05,2
471,fUjkRCvfRPJ0,9,1,1,2,44,14,2,1,7,4,2,3,1,1,2021-08-27 0:09:40,2021-08-27 0:10:41,1
473,jam9kfwaN5MK,1,,1,1,29,13,1,2,1,6,2,3,1,1,2021-08-27 0:21:33,2021-08-27 0:26:54,5
474,k0az1Muja2XR,8,1,1,2,32,29,2,1,12,2,2,3,1,1,2021-08-27 0:24:51,2021-08-27 0:25:28,1
475,mKPgyGpwKV72,9,1,1,2,43,14,1,2,1,6,2,3,1,5,2021-08-27 0:26:33,2021-08-27 0:27:28,1
476,K4Iszdwb1lwA,10,1,1,2,50,40,3,1,14,4,2,3,1,1,2021-08-27 0:40:04,2021-08-27 0:41:00,1
480,eQCZONRjNhkb,23,,1,2,68,35,2,2,12,6,2,3,2,2,2021-08-27 0:51:28,2021-08-27 0:52:13,1
483,jTnSbbOoXbUm,15,,1,1,41,27,1,2,14,4,2,3,2,5,2021-08-27 1:00:15,2021-08-27 1:02:27,2
484,k6mUC2XB78Ue,8,,1,2,39,1,1,2,5,2,2,3,1,5,2021-08-27 1:09:51,2021-08-27 1:10:37,1
487,F5Lvot7vj6pu,2,,1,1,30,12,1,2,1,6,2,3,1,5,2021-08-27 1:50:30,2021-08-27 1:52:13,2
